year,pdsi
2014,-0.18754372
2015,-0.10056234
2016,-0.10251567
2017,-0.488473515
2018,-0.680050274
2019,-0.616346009
2020,-0.572084941
2021,-0.564370899
2022,-0.653690183
2023,-0.520610191
2024,-0.320010898
2025,-0.328536154
2026,-0.158074349
2027,-0.119807833
2028,-0.133355996
2029,-0.168386823
2030,-0.380936804
2031,-0.319901497
2032,-0.22729077
2033,-0.216643807
2034,-0.254972079
2035,-0.468108125
2036,-0.584919232
2037,-0.808993065
2038,-1.01052168
2039,-0.865185107
2040,-0.83585634
2041,-0.636225136
2042,-0.430741179
2043,-0.447004684
2044,-0.478159499
2045,-0.696902537
2046,-0.958827513
2047,-1.078980448
2048,-1.085328792
2049,-1.108826569
2050,-1.013008108
2051,-0.883486282
2052,-0.831961838
2053,-0.821472082
2054,-0.866305843
2055,-0.915919281
2056,-0.927764416
2057,-0.929876388
2058,-0.967044628
2059,-0.937596715
2060,-0.9556445
2061,-1.029613356
2062,-1.044553989
2063,-1.07918562
2064,-1.007933281
2065,-0.927506871
2066,-0.976741179
2067,-1.072259828
2068,-1.114759554
2069,-1.099984514
2070,-1.159030837
2071,-1.332471763
2072,-1.406365291
2073,-1.420256463
2074,-1.429148476
2075,-1.383082302
2076,-1.243542391
2077,-1.168856705
2078,-1.116897617
2079,-1.079865233
2080,-1.085933943
2081,-1.108668637
2082,-1.209976377
2083,-1.264195836
2084,-1.237916956
2085,-1.207710433
2086,-1.154875253
2087,-1.446823761
2088,-1.72723612
2089,-1.681180543
2090,-1.689834726
2091,-1.753189635
2092,-1.748132042
2093,-1.732861847
2094,-1.716880855
2095,-1.469971769
2096,-1.379853841
2097,-1.397252147
2098,-1.371550776
2099,-1.391865743
2100,-1.419390321
