Program,Year,Period,State,State ANSI,Commodity,Data Item,Domain,Value
SURVEY,2014,YEAR,COLORADO,8,CORN,CORN - ACRES PLANTED,TOTAL,"1,150,000"
SURVEY,2014,YEAR,COLORADO,8,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,146
SURVEY,2014,YEAR,COLORADO,8,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"345,000"
SURVEY,2014,YEAR,COLORADO,8,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,30
SURVEY,2014,YEAR,COLORADO,8,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"2,759,000"
SURVEY,2014,YEAR,COLORADO,8,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,38.1
SURVEY,2014,YEAR,KANSAS,20,CORN,CORN - ACRES PLANTED,TOTAL,"4,050,000"
SURVEY,2014,YEAR,KANSAS,20,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,149
SURVEY,2014,YEAR,KANSAS,20,COTTON,COTTON - ACRES PLANTED,TOTAL,"31,000"
SURVEY,2014,YEAR,KANSAS,20,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",TOTAL,794
SURVEY,2014,YEAR,KANSAS,20,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"2,850,000"
SURVEY,2014,YEAR,KANSAS,20,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,74
SURVEY,2014,YEAR,KANSAS,20,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"9,600,000"
SURVEY,2014,YEAR,KANSAS,20,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,28
SURVEY,2014,YEAR,NEBRASKA,31,CORN,CORN - ACRES PLANTED,TOTAL,"9,300,000"
SURVEY,2014,YEAR,NEBRASKA,31,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,179
SURVEY,2014,YEAR,NEBRASKA,31,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"210,000"
SURVEY,2014,YEAR,NEBRASKA,31,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,82
SURVEY,2014,YEAR,NEBRASKA,31,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"1,550,000"
SURVEY,2014,YEAR,NEBRASKA,31,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,49
SURVEY,2014,YEAR,NEW MEXICO,35,CORN,CORN - ACRES PLANTED,TOTAL,"125,000"
SURVEY,2014,YEAR,NEW MEXICO,35,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,195
SURVEY,2014,YEAR,NEW MEXICO,35,COTTON,COTTON - ACRES PLANTED,TOTAL,"48,400"
SURVEY,2014,YEAR,NEW MEXICO,35,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",TOTAL,907
SURVEY,2014,YEAR,NEW MEXICO,35,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"110,000"
SURVEY,2014,YEAR,NEW MEXICO,35,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,42
SURVEY,2014,YEAR,NEW MEXICO,35,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"380,000"
SURVEY,2014,YEAR,NEW MEXICO,35,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,28
SURVEY,2014,YEAR,OKLAHOMA,40,CORN,CORN - ACRES PLANTED,TOTAL,"320,000"
SURVEY,2014,YEAR,OKLAHOMA,40,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,147
SURVEY,2014,YEAR,OKLAHOMA,40,COTTON,COTTON - ACRES PLANTED,TOTAL,"240,000"
SURVEY,2014,YEAR,OKLAHOMA,40,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",TOTAL,615
SURVEY,2014,YEAR,OKLAHOMA,40,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"370,000"
SURVEY,2014,YEAR,OKLAHOMA,40,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,56
SURVEY,2014,YEAR,OKLAHOMA,40,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"5,300,000"
SURVEY,2014,YEAR,OKLAHOMA,40,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,17
SURVEY,2014,YEAR,TEXAS,48,CORN,CORN - ACRES PLANTED,TOTAL,"2,250,000"
SURVEY,2014,YEAR,TEXAS,48,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,148
SURVEY,2014,YEAR,TEXAS,48,COTTON,COTTON - ACRES PLANTED,TOTAL,"6,217,000"
SURVEY,2014,YEAR,TEXAS,48,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",TOTAL,645
SURVEY,2014,YEAR,TEXAS,48,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"2,500,000"
SURVEY,2014,YEAR,TEXAS,48,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,61
SURVEY,2014,YEAR,TEXAS,48,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"6,000,000"
SURVEY,2014,YEAR,TEXAS,48,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,30
SURVEY,2013,YEAR,COLORADO,8,CORN,CORN - ACRES PLANTED,TOTAL,"1,220,000"
SURVEY,2013,YEAR,COLORADO,8,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,131
SURVEY,2013,YEAR,COLORADO,8,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"400,000"
SURVEY,2013,YEAR,COLORADO,8,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,24
SURVEY,2013,YEAR,COLORADO,8,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"2,310,000"
SURVEY,2013,YEAR,COLORADO,8,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,25.3
SURVEY,2013,YEAR,KANSAS,20,CORN,CORN - ACRES PLANTED,TOTAL,"4,300,000"
SURVEY,2013,YEAR,KANSAS,20,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,126
SURVEY,2013,YEAR,KANSAS,20,COTTON,COTTON - ACRES PLANTED,TOTAL,"27,000"
SURVEY,2013,YEAR,KANSAS,20,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",TOTAL,757
SURVEY,2013,YEAR,KANSAS,20,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"3,150,000"
SURVEY,2013,YEAR,KANSAS,20,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,59
SURVEY,2013,YEAR,KANSAS,20,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"9,500,000"
SURVEY,2013,YEAR,KANSAS,20,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,38
SURVEY,2013,YEAR,NEBRASKA,31,CORN,CORN - ACRES PLANTED,TOTAL,"9,950,000"
SURVEY,2013,YEAR,NEBRASKA,31,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,169
SURVEY,2013,YEAR,NEBRASKA,31,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"250,000"
SURVEY,2013,YEAR,NEBRASKA,31,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,67
SURVEY,2013,YEAR,NEBRASKA,31,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"1,470,000"
SURVEY,2013,YEAR,NEBRASKA,31,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,35
SURVEY,2013,YEAR,NEW MEXICO,35,CORN,CORN - ACRES PLANTED,TOTAL,"120,000"
SURVEY,2013,YEAR,NEW MEXICO,35,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,190
SURVEY,2013,YEAR,NEW MEXICO,35,COTTON,COTTON - ACRES PLANTED,TOTAL,"42,500"
SURVEY,2013,YEAR,NEW MEXICO,35,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",TOTAL,921
SURVEY,2013,YEAR,NEW MEXICO,35,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"125,000"
SURVEY,2013,YEAR,NEW MEXICO,35,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,34
SURVEY,2013,YEAR,NEW MEXICO,35,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"440,000"
SURVEY,2013,YEAR,NEW MEXICO,35,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,44
SURVEY,2013,YEAR,OKLAHOMA,40,CORN,CORN - ACRES PLANTED,TOTAL,"370,000"
SURVEY,2013,YEAR,OKLAHOMA,40,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,145
SURVEY,2013,YEAR,OKLAHOMA,40,COTTON,COTTON - ACRES PLANTED,TOTAL,"185,000"
SURVEY,2013,YEAR,OKLAHOMA,40,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",TOTAL,591
SURVEY,2013,YEAR,OKLAHOMA,40,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"320,000"
SURVEY,2013,YEAR,OKLAHOMA,40,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,55
SURVEY,2013,YEAR,OKLAHOMA,40,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"5,600,000"
SURVEY,2013,YEAR,OKLAHOMA,40,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,31
SURVEY,2013,YEAR,TEXAS,48,CORN,CORN - ACRES PLANTED,TOTAL,"2,350,000"
SURVEY,2013,YEAR,TEXAS,48,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,136
SURVEY,2013,YEAR,TEXAS,48,COTTON,COTTON - ACRES PLANTED,TOTAL,"5,809,000"
SURVEY,2013,YEAR,TEXAS,48,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",TOTAL,646
SURVEY,2013,YEAR,TEXAS,48,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"3,000,000"
SURVEY,2013,YEAR,TEXAS,48,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,56
SURVEY,2013,YEAR,TEXAS,48,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"6,300,000"
SURVEY,2013,YEAR,TEXAS,48,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,29
SURVEY,2012,YEAR,COLORADO,8,CORN,CORN - ACRES PLANTED,TOTAL,"1,420,000"
SURVEY,2012,YEAR,COLORADO,8,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,133
SURVEY,2012,YEAR,COLORADO,8,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"245,000"
SURVEY,2012,YEAR,COLORADO,8,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,20
SURVEY,2012,YEAR,COLORADO,8,WHEAT,WHEAT - ACRES PLANTED,TOTAL,"2,363,000"
SURVEY,2012,YEAR,COLORADO,8,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,31.3
SURVEY,2012,YEAR,KANSAS,20,CORN,CORN - ACRES PLANTED,TOTAL,"4,700,000"
SURVEY,2012,YEAR,KANSAS,20,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,95
SURVEY,2012,YEAR,KANSAS,20,COTTON,COTTON - ACRES PLANTED,TOTAL,"56,000"
SURVEY,2012,YEAR,KANSAS,20,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",TOTAL,622
SURVEY,2012,YEAR,KANSAS,20,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,"2,500,000"
SURVEY,2012,YEAR,KANSAS,20,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,39
