StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      103,      00,   196001,   2.57,   32.1,    .63,    .63,   -.23,    .63,      0,   1067,   -.16,   -.06,   -.19,    .18,   -.23,   -.41,   -.24,   24.6,   39.6,
      103,      00,   196002,   2.87,   29.8,     .7,     .7,     .4,     .7,      0,   1026,    .32,   -.04,    .01,    .27,   -.24,   -.45,   -.07,   21.7,   37.8,
      103,      00,   196003,   2.47,   28.5,   -.34,   -.34,  -1.01,   -.34,      0,   1178,  -1.04,   -.64,   -.71,   -.07,    -.1,   -.56,   -.16,   18.8,   38.1,
      103,      00,   196004,   2.63,     56,  -1.04,  -1.04,  -2.21,  -1.04,      8,    318,  -1.11,  -1.51,  -1.16,   -.96,   -.45,   -.71,   -.36,   43.3,   68.6,
      103,      00,   196005,   4.34,   60.4,    .17,   -.76,    .52,   -.27,     40,    215,    .07,   -.61,  -1.03,   -.85,   -.43,    -.7,   -.32,   48.8,   72.1,
      103,      00,   196006,   4.99,   70.3,    .65,    .65,   1.48,    .65,    158,     33,    .63,    .34,   -.21,   -.62,   -.25,   -.24,   -.38,     59,   81.6,
      103,      00,   196007,   3.53,   73.3,   -.02,   -.02,   -.07,    .56,    239,      8,   -.48,     .1,    .03,   -.65,   -.71,    -.4,   -.98,   61.9,   84.7,
      103,      00,   196008,   3.34,   74.9,   -.11,   -.11,   -.27,    .41,    284,      6,   -.27,   -.63,    -.1,   -.88,   -.78,   -.44,  -1.03,   63.7,   86.1,
      103,      00,   196009,   2.32,   69.7,   -.76,   -.76,  -1.97,   -.76,    151,     35,   -.98,    -.9,  -1.04,   -.81,  -1.08,   -.66,  -1.25,   57.5,   81.8,
      103,      00,   196010,   2.75,   56.3,   -.85,   -.85,   -.51,   -.85,     14,    324,   -.04,   -.72,   -.78,   -.51,  -1.02,  -1.01,  -1.16,   44.3,   68.3,
