Year,Area_Harvested_Ha,Yield_Hg_Ha,Price_Per_Ton_Dollars_HRW
1961,23323008,39183.63,44.95666667
1962,22551008,40620.8,48.65333333
1963,23968000,42595.55,53.77083333
1964,22407008,39498.36,54.63166667
1965,22416032,46492.14,55.6725
1966,23067568,45891.88,58.29666667
1967,24561648,50264.67,54.1025
1968,22653984,49890.92,47.96333333
1969,22085008,53908.03,52.28666667
1970,23211632,45438.91,58.4
1971,25949296,55269.57,58.4
1972,23274368,60896.74,55.7525
1973,25148032,57277.55,97.82166667
1974,26468096,45118.59,131.2258333
1975,27366480,54212.7,119.635
1976,28937056,55206.44,112.3716667
1977,28980752,57015.27,95.35
1978,29109344,63420.53,100.7425
1979,29298800,68734.22,115.5225
1980,29525904,57118.32,125.2625
1981,30158400,68379.62,130.7808333
1982,29427904,71082.19,109.2625
1983,20834000,50892.77,136.0166667
1984,29095008,66980.56,135.9425
1985,30436000,74074.45,112.2333333
1986,27885008,74930.23,87.55833333
1987,24080000,75225.08,75.69666667
1988,23573008,53109.05,106.8908333
1989,26216000,72977.96,111.5241667
1990,27094800,74380.32,109.2758333
1991,27851000,68172.24,107.42
1992,29168800,82526.2,104.2458333
1993,25468000,63210.69,102.09
1994,29345000,86997.1,107.55
1995,26389000,71230.05,123.4875
1996,29398000,79776.52,165.8091667
1997,29409000,79522.26,117.0916667
1998,29376000,84382.49,101.9866667
1999,28525000,83978.61,90.21666667
2000,29315744,85910.22,88.53416667
2001,27829722,86732.82,89.64083333
2002,28057158,81179.05,99.27083333
2003,28710327,89245.69,105.3700758
2004,29797730,100636.38,111.8034797
2005,30399000,92851.96,98.67179117
2006,28586492,93576.03,121.8510178
2007,35013779,94584.21,163.6649145
2008,31796493,96596.19,223.1168277
2009,32168810,103376.1,165.5096333
2010,32960380,95922.72,185.9142083
2011,33989510,92366.32,291.6840733
2012,35359439,77439.03,298.4169641
2013,35478012,99695.39,259.3892232
2014,,,192.8812195
