,Year,Yield,Area_Planted,Price
1,1960,446,16080000,0.654541667
2,1961,438,16588000,0.672183333
3,1962,457,16293000,0.649325
4,1963,517,14843000,0.645591667
5,1964,517,14835600,0.650358333
6,1965,527,14152300,0.637925
7,1966,480,10349400,0.6228
8,1967,447,9449600,0.676533333
9,1968,516,10912900,0.684516667
10,1969,434,11882500,0.626991667
11,1970,438,11945200,0.676283333
12,1971,438,12354900,0.7832
13,1972,507,14001300,0.826991667
14,1973,520,12479700,1.390575
15,1974,442,13679400,1.458741667
16,1975,453,9477600,1.222875
17,1976,465,11635500,1.747508333
18,1977,520,13679500,1.628541667
19,1978,420,13375100,1.606666667
20,1979,547,13977500,1.70735
21,1980,404,14533800,2.061841667
22,1981,542,14330100,1.871058333
23,1982,590,11345400,1.597266667
24,1983,508,7926300,1.853891667
25,1984,600,11145400,1.78485
26,1985,630,10684600,1.318283333
27,1986,552,10044600,1.056275
28,1987,706,10397200,1.648433333
29,1988,619,12514800,1.3994
30,1989,614,10586600,1.674225
31,1990,634,12348100,1.819141667
32,1991,652,14052100,1.677408333
33,1992,700,13240000,1.2783
34,1993,606,13438300,1.280266667
35,1994,708,13720100,1.762775
36,1995,537,16931400,2.1279
37,1996,705,14652500,1.773333333
38,1997,673,13898000,1.747583333
39,1998,625,13392500,1.444716667
40,1999,607,14873500,1.171075
41,2000,632,15517200,1.30215
42,2001,705,15768500,1.058075
43,2002,665,13957900,1.019225
44,2003,730,13479600,1.399111408
45,2004,855,13658600,1.365721199
46,2005,831,14245400,1.216967048
47,2006,814,15274000,1.26655419
48,2007,879,10827200,1.395157023
49,2008,813,9471000,1.573906213
50,2009,776,9149500,1.382021163
51,2010,812,10974200,2.283380479
52,2011,790,14735400,3.328506187
53,2012,892,12264400,1.967116454
54,2013,821,10407000,1.99269631
55,2014,838,11037400,1.831965733
