Year,Area_Planted,Yield,Price
1960,54906000,26.1,57.99
1961,55707000,23.9,58.61
1962,49274000,25,64.33
1963,53364000,25.2,64.49
1964,55672000,25.8,67.53
1965,57361000,26.5,59.46
1966,54105000,26.3,62.95
1967,67264000,25.8,65.71
1968,61860000,28.4,62.77
1969,53450000,30.6,58.39
1970,48739000,31,54.9
1971,53822000,33.9,61.73
1972,54913000,32.7,69.81
1973,59254000,31.6,139.81
1974,71044000,27.3,179.71
1975,74900000,30.6,149.06
1976,80395000,30.3,132.92
1977,75410000,30.7,103.22
1978,65989000,31.4,127.75
1979,71424000,34.2,160.29
1980,80788000,33.5,172.73
1981,88251000,34.5,174.96
1982,86232000,35.5,160.36
1983,76419000,39.4,157.42
1984,79213000,38.8,152.33
1985,75535000,37.5,135.83
1986,71998000,34.4,114.92
1987,65829000,37.7,112.9
1988,65529000,34.1,145.2
1989,76615000,32.7,169.24
1990,77041000,39.5,135.52
1991,69881000,34.3,128.67
1992,72219000,39.3,151.2
1993,72168000,38.2,140.24
1994,70349000,37.6,149.73
1995,69031000,35.8,176.98
1996,75105000,36.3,207.6
1997,70412000,39.5,159.48
1998,65821000,43.2,126.13
1999,62664000,42.7,112.04
2000,62549000,42,114.09
2001,59432000,40.2,126.81
2002,60318000,35,148.08
2003,62141000,44.2,146.14
2004,59644000,43.2,156.88
2005,57214000,42,152.35
2006,57334000,38.6,192.04
2007,60460000,40.2,255.21
2008,63617000,44.8,326.03
2009,59017000,44.3,224.07
2010,52620000,46.1,223.58
2011,54277000,43.6,316.26
2012,55294000,46.2,313.24
2013,56236000,47.1,312.25
2014,56822000,43.7,284.9
